response_id,timepoint,sad,pos,rum,condition
R_2QrlmVUc8kcgzme,baseline,12,14,3.9166666666666665,self
R_2QrlmVUc8kcgzme,postinduction,15,11,3.9166666666666665,self
R_2QrlmVUc8kcgzme,postlistening,10,10,3.9166666666666665,self
R_2scYwRmL64BtakW,baseline,22,13,4.75,control
R_2scYwRmL64BtakW,postinduction,24,9,4.75,control
R_2scYwRmL64BtakW,postlistening,NA,12,4.75,control
R_3dM2OjMcGpxykVw,baseline,11,5,4,self
R_3dM2OjMcGpxykVw,postinduction,12,5,4,self
R_3dM2OjMcGpxykVw,postlistening,10,5,4,self
R_2ZTuR0ojKEVNKdj,baseline,13,11,4.416666666666667,control
R_2ZTuR0ojKEVNKdj,postinduction,34,5,4.416666666666667,control
R_2ZTuR0ojKEVNKdj,postlistening,14,5,4.416666666666667,control
R_BxIg1kp06UwQvAZ,baseline,31,7,5,sad
R_BxIg1kp06UwQvAZ,postinduction,33,5,5,sad
R_BxIg1kp06UwQvAZ,postlistening,28,5,5,sad
R_2zRNYswyDzab4xh,baseline,17,9,3,control
R_2zRNYswyDzab4xh,postinduction,12,6,3,control
R_2zRNYswyDzab4xh,postlistening,8,5,3,control
R_1cYOFlYSNSeSMno,baseline,9,8,4,self
R_1cYOFlYSNSeSMno,postinduction,15,5,4,self
R_1cYOFlYSNSeSMno,postlistening,8,22,4,self
R_rrqtXcyZDwDeGqt,baseline,10,9,3.75,control
R_rrqtXcyZDwDeGqt,postinduction,17,5,3.75,control
R_rrqtXcyZDwDeGqt,postlistening,11,8,3.75,control
R_BQAWhQnhNHKI3qp,baseline,24,5,5,self
R_BQAWhQnhNHKI3qp,postinduction,27,5,5,self
R_BQAWhQnhNHKI3qp,postlistening,24,5,5,self
R_SPr4y4070uj4pBD,baseline,10,13,4.416666666666667,sad
R_SPr4y4070uj4pBD,postinduction,20,8,4.416666666666667,sad
R_SPr4y4070uj4pBD,postlistening,10,5,4.416666666666667,sad
R_3PXqliL2wIp9kVH,baseline,8,15,3,self
R_3PXqliL2wIp9kVH,postinduction,17,9,3,self
R_3PXqliL2wIp9kVH,postlistening,8,19,3,self
R_2tgpLS7P2dLfmmh,baseline,9,12,2.5,control
R_2tgpLS7P2dLfmmh,postinduction,10,9,2.5,control
R_2tgpLS7P2dLfmmh,postlistening,8,10,2.5,control
R_3pfNwJKdJaqURO3,baseline,8,15,3.4166666666666665,sad
R_3pfNwJKdJaqURO3,postinduction,20,10,3.4166666666666665,sad
R_3pfNwJKdJaqURO3,postlistening,8,10,3.4166666666666665,sad
R_e2uMle2f0wT2QDL,baseline,8,18,3.8333333333333335,sad
R_e2uMle2f0wT2QDL,postinduction,16,6,3.8333333333333335,sad
R_e2uMle2f0wT2QDL,postlistening,16,5,3.8333333333333335,sad
R_1ey23Ttzw2J7EfF,baseline,13,10,3.8333333333333335,control
R_1ey23Ttzw2J7EfF,postinduction,12,6,3.8333333333333335,control
R_1ey23Ttzw2J7EfF,postlistening,11,5,3.8333333333333335,control
R_234gmgPVFCJKiem,baseline,11,8,4.833333333333333,control
R_234gmgPVFCJKiem,postinduction,10,5,4.833333333333333,control
R_234gmgPVFCJKiem,postlistening,8,5,4.833333333333333,control
R_A0s212hsBnPyrL3,baseline,15,8,4.833333333333333,self
