ID,song_artist,valence,energy,artist_rtn,song_rtn
296,Dosed_Red Hot Chili Peppers,0.335,0.8,Red Hot Chili Peppers,Dosed
297,Back To December_Taylor Swift,0.286,0.67,Taylor Swift,Back To December
298,I'll Never Love Again - Film Version_Lady Gaga,0.221,0.34,Lady Gaga,I'll Never Love Again - Film Version
300,Cancer_My Chemical Romance,0.222,0.515,My Chemical Romance,Cancer
301,These Are The Days Of Our Lives - 2011 Remaster_Queen,0.55,0.402,Queen,These Are The Days Of Our Lives - 2011 Remaster
303,The Sound of Silence_Disturbed,0.175,0.28,Disturbed,The Sound of Silence
304,Bad Day_Daniel Powter,0.52,0.785,Daniel Powter,Bad Day
305,No Angel_Birdy,0.13,0.23,Birdy,No Angel
306,Stole_Kelly Rowland,0.477,0.718,Kelly Rowland,Stole
307,Black_Pearl Jam,0.2,0.684,Pearl Jam,Black
308,To Build A Home_The Cinematic Orchestra,0.0774,0.128,The Cinematic Orchestra,To Build A Home
309,I Hadn't Known (I Only Heard)_Herbert,0.685,0.696,Herbert,I Hadn't Known (I Only Heard)
310,Hold Back The River_James Bay,0.506,0.715,James Bay,Hold Back The River
312,Been Thru_Ady Suleiman,0.736,0.388,Ady Suleiman,Been Thru
313,Sad_Maroon 5,0.331,0.259,Maroon 5,Sad
315,Come Away with Me_Norah Jones,0.216,0.146,Norah Jones,Come Away with Me
316,Resentment_Beyoncé,0.48,0.574,Beyoncé,Resentment
317,Time_Pink Floyd,0.356,0.48,Pink Floyd,Time
318,We Won't Move_Arlissa,0.157,0.443,Arlissa,We Won't Move
319,Smile_Nat King Cole,0.263,0.136,Nat King Cole,Smile
321,A Sky Full of Stars_Coldplay,0.153,0.636,Coldplay,A Sky Full of Stars
323,Somewhere I Belong_Linkin Park,0.442,0.951,Linkin Park,Somewhere I Belong
324,Let Her Go_Passenger,0.244,0.545,Passenger,Let Her Go
325,Mad World (Feat. Michael Andrews)_Gary Jules,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
326,Do They Know It's Christmas? - 1984 Version_Band Aid,0.349,0.642,Band Aid,Do They Know It's Christmas? - 1984 Version
327,Adam's Song_blink-182,0.382,0.775,blink-182,Adam's Song
328,Tum Hi Ho_Arijit Singh,0.317,0.449,Arijit Singh,Tum Hi Ho
329,Heaven (featuring Do)_DJ Sammy,0.569,0.942,DJ Sammy,Heaven (featuring Do)
330,You_Keaton Henson,0.139,0.151,Keaton Henson,You
331,She's Always a Woman_Billy Joel,0.384,0.324,Billy Joel,She's Always a Woman
332,Fellow Feeling_Porter Robinson,0.114,0.545,Porter Robinson,Fellow Feeling
333,The Funeral_Band of Horses,0.127,0.769,Band of Horses,The Funeral
334,Lost Without You_Freya Ridings,0.0976,0.136,Freya Ridings,Lost Without You
335,When We Were Young_Adele,0.273,0.594,Adele,When We Were Young
337,Somewhere Over The Rainbow_What A Wonderful World_Israel Kamakawiwo'ole,0.678,0.168,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World
338,I'll Be Missing You (feat. 112)_Diddy,0.925,0.479,Diddy,I'll Be Missing You (feat. 112)
339,Sloop John B - Remastered_The Beach Boys,0.903,0.745,The Beach Boys,Sloop John B - Remastered
340,Hello_Adele,0.289,0.451,Adele,Hello
341,"Adagio for Strings, Op. 11_Samuel Barber",0.0298,0.0865,Samuel Barber,"Adagio for Strings, Op. 11"
342,The Night We Met_Lord Huron,0.1,0.366,Lord Huron,The Night We Met
343,"My Heart Will Go On - Love Theme from ""Titanic""_Céline Dion",0.0382,0.276,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic"""
344,Skinny Love_Birdy,0.169,0.29,Birdy,Skinny Love
345,Say Something_A Great Big World,0.0765,0.147,A Great Big World,Say Something
346,Hope_XXXTENTACION,0.225,0.457,XXXTENTACION,Hope
347,Castle on the Hill_Ed Sheeran,0.471,0.834,Ed Sheeran,Castle on the Hill
349,I Fall Apart_Post Malone,0.291,0.538,Post Malone,I Fall Apart
350,Lionheart_Demi Lovato,0.169,0.678,Demi Lovato,Lionheart
351,Supermarket Flowers_Ed Sheeran,0.257,0.242,Ed Sheeran,Supermarket Flowers
352,Crash Land_Twin Atlantic,0.388,0.462,Twin Atlantic,Crash Land
353,Let Me In_Make Them Suffer,0.0998,0.964,Make Them Suffer,Let Me In
354,Angels_Danny Worsnop,0.216,0.227,Danny Worsnop,Angels
355,How to Save a Life_The Fray,0.361,0.743,The Fray,How to Save a Life
356,My Everything_Ariana Grande,0.423,0.265,Ariana Grande,My Everything
