song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
Can't Help Falling in Love_Elvis Presley,31,6,10,6,0,0.0183,0.0183,Positive,187,0.343,0.293,Elvis Presley,Can't Help Falling in Love
Breathe Me_Sia,136,16,16,36,0,485165195.4098,1,Negative,188,0.19,0.621,Sia,Breathe Me
Gypsy_Fleetwood Mac,48,1,10,11,0,2.7183,1e-4,Negative,189,0.847,0.54,Fleetwood Mac,Gypsy
Disorder_Goldfinger,69,9,2,10,0,2980.958,1096.6332,Negative,190,0.686,0.965,Goldfinger,Disorder
Headlights_Eminem,272,28,27,38,0,59874.1417,2.7183,Negative,191,0.453,0.782,Eminem,Headlights
Angels_Robbie Williams,300,24,80,48,0,0,0,Positive,192,0.252,0.586,Robbie Williams,Angels
Sun in an Empty Room_The Weakerthans,68,4,4,7,0,20.0855,1,Negative,194,0.521,0.613,The Weakerthans,Sun in an Empty Room
Try Sleeping with a Broken Heart_Alicia Keys,81,6,8,8,0,1,0.1353,Equal,195,0.549,0.82,Alicia Keys,Try Sleeping with a Broken Heart
Lost Without You_Freya Ridings,1200,300,150,300,0,13937095806663797e49,13937095806663797e49,Negative,197,0.0976,0.136,Freya Ridings,Lost Without You
Albatross - 2018 Remaster_Fleetwood Mac,1,0,0,0,0.3679,1,1,Equal,198,0.264,0.0631,Fleetwood Mac,Albatross - 2018 Remaster
Somewhere Only We Know_Keane,37,0,5,3,0,0.1353,0.0067,Positive,201,0.368,0.655,Keane,Somewhere Only We Know
A Little Piece of Heaven_Avenged Sevenfold,199,26,33,39,0,403.4288,9e-4,Negative,203,0.667,0.881,Avenged Sevenfold,A Little Piece of Heaven
Misery_The Gaslight Anthem,80,14,24,18,0,0.0025,0,Positive,205,0.268,0.367,The Gaslight Anthem,Misery
Chasing Cars_Snow Patrol,172,16,16,48,0,78962960182680.7,1,Negative,206,0.136,0.592,Snow Patrol,Chasing Cars
Supermarket Flowers_Ed Sheeran,3240,216,540,324,0,0,0,Positive,207,0.257,0.242,Ed Sheeran,Supermarket Flowers
Set The Fire To The Third Bar_Snow Patrol,76,4,10,7,0,0.0498,0.0025,Positive,208,0.385,0.379,Snow Patrol,Set The Fire To The Third Bar
How to Save a Life_The Fray,1600,224,416,384,0,0,0,Positive,209,0.361,0.743,The Fray,How to Save a Life
You Are Not Alone_Michael Jackson,212,44,8,24,0,8886110.5205,4311231547115195,Negative,210,0.256,0.402,Michael Jackson,You Are Not Alone
Cinderella_Steven Curtis Chapman,76,1,15,4,0,0,0,Positive,211,0.305,0.447,Steven Curtis Chapman,Cinderella
Mad World (Feat. Michael Andrews)_Gary Jules,6,0,0,0,0.0025,1,1,Equal,212,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
Stop Crying Your Heart Out_Oasis,896,192,64,192,0,38877084059945954e39,38877084059945954e39,Negative,213,0.083,0.566,Oasis,Stop Crying Your Heart Out
The Long And Winding Road - Remastered 2009_The Beatles,1,0,0,0,0.3679,1,1,Equal,215,0.392,0.329,The Beatles,The Long And Winding Road - Remastered 2009
If I Die Young_Julia Sheer,119,7,23,13,0,0,0,Positive,217,0.456,0.205,Julia Sheer,If I Die Young
When You Love Someone_James TW,70,7,16,7,0,1e-4,1e-4,Positive,218,0.348,0.453,James TW,When You Love Someone
forever rain_RM,268,0,3,0,0,0.0498,0.0498,Positive,219,0.252,0.591,RM,forever rain
By The Grace Of God_Katy Perry,102,5,22,6,0,0,0,Positive,220,0.217,0.367,Katy Perry,By The Grace Of God
When We Were Young_Adele,264,4,24,8,0,0,0,Positive,221,0.273,0.594,Adele,When We Were Young
Blue on Blue_Bobby Vinton,68,46,1,21,0,485165195.4098,34934271057485095e3,Negative,222,0.555,0.303,Bobby Vinton,Blue on Blue
Slide Away - Remastered_Oasis,1,0,0,0,0.3679,1,1,Equal,223,0.29,0.928,Oasis,Slide Away - Remastered
There's A Reason Why (I Never Returned Your Calls)_Blossoms,59,5,9,15,0,403.4288,0.0183,Negative,224,0.685,0.882,Blossoms,There's A Reason Why (I Never Returned Your Calls)
